Timestamp,Do you voluntarily agree to participate in this research? ,  Age  ,Gender,  Highest Educational Qualification  ,  Occupation  ,  Monthly Income  ,  Which social media platform do you use most?  ,  How much time do you spend on social media daily?  ,  Have you ever purchased a product after seeing it on social media?  ,  Which type of products do you purchase most through social media?  ,Social media influences my purchasing decisions. ,Advertisements on social media encourage me to buy products. ,Influencer recommendations increase my interest in products. ,I trust products recommended by social media influencers. ,Customer reviews on social media influence my buying decisions. ,Product images and videos on social media attract me. ,Social media promotions and discounts motivate me to purchase products. ,Limited-time offers on social media encourage me to buy immediately. ,Celebrity endorsements on social media influence my buying decisions. ,"The number of likes, comments, and shares increases my trust in a product. ",I compare products after seeing them on social media. ,Social media helps me make informed purchasing decisions. ,I follow brands on social media for product updates. ,Social media has changed my shopping habits. ,I spend more time exploring products because of social media. ,I prefer buying products that are recommended by influencers. ,Social media provides reliable product information. ,I feel confident purchasing products promoted on social media. ,Social media helps me compare prices before buying. ,User-generated content (customer photos/videos) influences my purchase decisions. ,User-generated content (customer photos/videos) influences my purchase decisions. ,"Overall, social media has a significant impact on my buying behaviour. ",Email address,Column 33
29/06/2026 20:51:17,yes,Below 18,Male,Postgraduate,Self-employed,"Above ₹80,000",Others,2–4 hours,Yes,Health & Fitness,2,5,5,4,4,3,1,1,3,3,5,4,4,2,3,3,4,1,4,1,5,3,,
29/06/2026 20:51:56,yes,Below 18,Male,Doctorate,Self-employed,"Above ₹80,000",YouTube,1–2 hours,No,Food & Beverages,3,1,2,1,3,2,3,3,1,2,4,4,2,1,1,2,2,5,3,2,2,2,,
29/06/2026 20:51:58,yes,Below 18,Male,Doctorate,Private Employee,"₹20,001–₹40,000",X (Twitter),More than 6 hours,No,Home & Lifestyle,1,1,4,3,2,2,4,5,1,5,2,3,1,1,3,3,2,3,4,5,2,4,,
29/06/2026 21:19:19,yes,18–24,Male,Postgraduate,Student,"Below ₹20,000",Instagram,Less than 1 hour,Yes,Home & Lifestyle,3,2,2,3,2,4,2,5,1,2,5,4,4,5,2,1,5,4,5,4,4,2,,
29/06/2026 22:27:04,no,18–24,Female,Diploma,Government Employee,"₹40,001–₹60,000",YouTube,More than 6 hours,Yes,Health & Fitness,5,2,3,3,3,3,1,5,3,3,4,2,2,5,3,1,5,2,4,2,5,5,,
29/06/2026 22:27:05,yes,55 and above,Prefer not to say,Postgraduate,Self-employed,"₹40,001–₹60,000",Facebook,More than 6 hours,Yes,Health & Fitness,5,1,5,4,3,2,1,4,2,1,4,3,1,3,2,4,4,2,1,3,2,2,,
29/06/2026 22:27:06,yes,35–44,Male,Diploma,Government Employee,"₹60,001–₹80,000",Others,1–2 hours,No,Home & Lifestyle,1,4,2,1,5,3,5,1,4,5,2,1,3,3,5,4,4,2,1,5,4,2,,
29/06/2026 22:27:14,no,Below 18,Prefer not to say,Postgraduate,Government Employee,"₹20,001–₹40,000",Instagram,4–6 hours,Yes,Electronics,5,5,2,4,3,5,4,4,2,3,2,1,2,3,2,4,4,3,3,2,2,5,,
29/06/2026 22:27:16,yes,55 and above,Female,Others,Private Employee,"Below ₹20,000",Facebook,Less than 1 hour,No,Others,2,5,3,4,3,5,4,3,1,5,3,4,2,5,2,4,4,4,5,3,5,3,,
29/06/2026 22:27:21,yes,18–24,Male,High School,Student,"Below ₹20,000",Others,2–4 hours,Yes,Electronics,2,3,3,3,4,3,5,4,1,5,3,3,5,5,2,4,4,2,2,4,5,3,,
29/06/2026 22:29:00,yes,18–24,Female,Postgraduate,Private Employee,"₹20,001–₹40,000",YouTube,2–4 hours,Yes,Electronics,2,4,4,3,3,4,3,3,4,4,3,4,4,4,4,3,5,3,3,4,5,4,,
29/06/2026 22:30:34,no,18–24,Prefer not to say,Postgraduate,Student,"Below ₹20,000",YouTube,Less than 1 hour,Yes,Electronics,4,3,3,2,2,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,,
29/06/2026 22:30:59,no,55 and above,Male,Doctorate,Student,"₹20,001–₹40,000",Snapchat,1–2 hours,No,Beauty & Personal Care,1,4,5,4,3,4,5,5,2,1,5,3,3,1,2,3,5,2,5,1,2,5,,
29/06/2026 22:31:00,yes,25–34,Prefer not to say,Undergraduate,Private Employee,"Below ₹20,000",WhatsApp,4–6 hours,Yes,Electronics,4,3,5,3,5,4,4,4,2,5,5,5,2,3,3,4,2,4,5,2,1,3,,
29/06/2026 22:31:46,yes,Below 18,Female,Others,Student,"₹60,001–₹80,000",X (Twitter),Less than 1 hour,Yes,Others,1,4,5,2,4,5,3,1,1,3,5,3,5,4,3,4,2,4,3,3,3,3,,
29/06/2026 22:31:47,yes,45–54,Prefer not to say,Others,Private Employee,"Below ₹20,000",Instagram,Less than 1 hour,No,Others,3,3,5,4,3,1,2,2,3,3,5,2,5,1,2,1,4,3,1,3,1,2,,
29/06/2026 22:31:48,no,18–24,Female,Doctorate,Government Employee,"₹40,001–₹60,000",YouTube,2–4 hours,No,Others,3,3,2,3,1,4,1,5,5,4,4,5,1,5,1,4,1,2,4,4,2,2,,
29/06/2026 22:31:49,no,18–24,Male,Others,Government Employee,"₹60,001–₹80,000",YouTube,1–2 hours,Yes,Home & Lifestyle,2,3,2,4,4,2,2,5,5,1,5,2,4,2,3,1,2,3,3,2,5,4,,
29/06/2026 22:31:50,yes,25–34,Prefer not to say,Undergraduate,Others,"₹60,001–₹80,000",WhatsApp,More than 6 hours,Yes,Fashion & Clothing,5,4,2,4,3,5,3,4,5,2,1,1,5,5,5,5,1,5,3,3,1,2,,
29/06/2026 22:31:51,no,25–34,Male,Undergraduate,Private Employee,"₹40,001–₹60,000",Instagram,2–4 hours,Yes,Health & Fitness,4,5,4,3,3,4,3,2,1,1,2,2,2,3,4,4,5,3,5,1,2,2,,
29/06/2026 22:31:52,yes,25–34,Female,High School,Self-employed,"Above ₹80,000",Facebook,2–4 hours,Yes,Fashion & Clothing,4,3,4,2,5,1,3,1,2,2,4,3,1,2,5,2,5,5,1,1,2,4,,
29/06/2026 22:31:53,no,Below 18,Female,Postgraduate,Student,"₹20,001–₹40,000",WhatsApp,More than 6 hours,Yes,Fashion & Clothing,3,5,1,3,2,1,1,3,4,1,4,4,3,3,2,3,3,3,4,2,5,2,,
29/06/2026 22:31:54,yes,18–24,Female,High School,Student,"₹20,001–₹40,000",LinkedIn,Less than 1 hour,Yes,Others,5,3,1,2,2,3,5,5,3,3,5,5,2,5,2,3,3,2,2,4,3,2,,
29/06/2026 22:31:56,no,55 and above,Female,Others,Self-employed,"₹40,001–₹60,000",Facebook,1–2 hours,No,Food & Beverages,1,1,4,5,4,3,2,5,5,4,4,3,5,3,5,5,1,4,4,4,3,3,,
29/06/2026 22:31:57,yes,55 and above,Prefer not to say,Postgraduate,Private Employee,"₹40,001–₹60,000",WhatsApp,Less than 1 hour,Yes,Health & Fitness,5,4,1,1,5,5,5,4,1,4,3,5,2,3,2,4,1,3,2,3,5,3,,
29/06/2026 22:31:58,yes,35–44,Female,Postgraduate,Self-employed,"Above ₹80,000",YouTube,Less than 1 hour,No,Food & Beverages,4,5,2,2,3,2,3,3,3,2,1,4,3,2,3,5,5,2,5,1,1,5,,
29/06/2026 22:31:59,yes,25–34,Male,Postgraduate,Student,"₹40,001–₹60,000",YouTube,1–2 hours,No,Others,3,2,4,1,3,2,2,1,5,1,4,1,3,3,2,3,1,1,5,1,5,2,,
29/06/2026 22:32:06,no,45–54,Prefer not to say,Others,Government Employee,"₹40,001–₹60,000",Others,1–2 hours,No,Fashion & Clothing,3,4,2,4,1,4,4,1,2,3,3,1,5,1,3,4,4,4,4,3,3,1,,
29/06/2026 22:32:07,no,25–34,Prefer not to say,Postgraduate,Government Employee,"Below ₹20,000",Snapchat,More than 6 hours,No,Health & Fitness,4,2,4,1,4,4,3,5,4,2,3,5,1,5,2,4,3,3,1,4,3,1,,
29/06/2026 22:32:10,no,Below 18,Prefer not to say,Diploma,Student,"Above ₹80,000",Facebook,Less than 1 hour,No,Health & Fitness,1,4,5,5,1,2,1,3,4,3,1,1,2,2,3,2,3,2,3,2,3,4,,
29/06/2026 22:32:10,yes,18–24,Prefer not to say,High School,Homemaker,"Below ₹20,000",WhatsApp,More than 6 hours,No,Health & Fitness,3,2,5,5,1,1,2,4,3,3,3,1,4,3,2,4,5,1,2,5,2,2,,
29/06/2026 22:32:11,yes,45–54,Prefer not to say,Doctorate,Business Owner,"Below ₹20,000",Facebook,4–6 hours,Yes,Food & Beverages,4,4,5,5,3,2,2,5,1,5,4,1,5,4,1,3,4,5,5,5,1,4,,
29/06/2026 22:32:11,yes,45–54,Male,High School,Business Owner,"₹20,001–₹40,000",Snapchat,Less than 1 hour,Yes,Health & Fitness,2,1,1,1,1,2,5,2,2,5,5,3,1,3,2,5,1,4,1,2,4,4,,
29/06/2026 22:32:13,yes,45–54,Male,Doctorate,Homemaker,"Below ₹20,000",WhatsApp,2–4 hours,No,Electronics,4,3,5,1,3,1,1,1,2,3,1,4,5,3,5,4,5,4,1,3,2,3,,
29/06/2026 22:32:43,yes,18–24,Male,Postgraduate,Student,"Below ₹20,000",YouTube,More than 6 hours,No,Food & Beverages,2,2,2,1,2,3,2,3,3,3,4,3,2,2,4,2,2,2,4,4,4,3,,
29/06/2026 22:33:14,yes,18–24,Male,High School,Student,"Above ₹80,000",Instagram,Less than 1 hour,Yes,Others,5,4,4,5,4,5,4,5,5,4,5,2,2,1,4,4,4,3,5,5,4,4,,
29/06/2026 22:33:57,no,25–34,Male,Undergraduate,Business Owner,"₹60,001–₹80,000",LinkedIn,2–4 hours,No,Others,5,4,2,4,5,5,4,5,1,2,5,1,1,2,5,5,4,3,4,4,2,5,,
29/06/2026 22:33:57,yes,18–24,Prefer not to say,Undergraduate,Student,"₹20,001–₹40,000",LinkedIn,4–6 hours,No,Fashion & Clothing,5,5,1,5,5,2,4,5,5,3,5,1,5,4,5,1,4,3,3,1,5,5,,
29/06/2026 22:33:58,yes,Below 18,Prefer not to say,Postgraduate,Others,"₹20,001–₹40,000",Others,4–6 hours,Yes,Electronics,3,3,3,4,3,1,2,4,3,4,3,2,1,2,2,3,2,2,5,4,3,5,,
29/06/2026 22:41:44,yes,18–24,Male,Postgraduate,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Electronics,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,3,4,4,5,,
30/06/2026 10:22:02,yes,18–24,Male,Postgraduate,Student,"₹40,001–₹60,000",Instagram,1–2 hours,No,Others,4,3,3,2,3,2,2,1,2,3,3,2,3,4,3,1,2,3,5,4,3,4,,
30/06/2026 12:10:14,yes,18–24,Male,Postgraduate,Self-employed,"Below ₹20,000",YouTube,2–4 hours,Yes,Electronics,3,1,4,5,4,1,2,5,3,4,1,3,2,4,5,1,2,1,5,3,3,4,,
30/06/2026 12:10:15,no,35–44,Female,High School,Business Owner,"Above ₹80,000",X (Twitter),More than 6 hours,No,Health & Fitness,4,5,5,4,1,4,2,2,1,4,5,1,5,3,5,5,3,4,2,4,4,3,,
30/06/2026 12:10:16,yes,45–54,Prefer not to say,Doctorate,Private Employee,"Above ₹80,000",Snapchat,Less than 1 hour,Yes,Health & Fitness,4,2,5,5,5,1,5,2,3,5,3,2,2,2,1,4,1,3,2,2,4,3,,
30/06/2026 12:10:17,no,18–24,Female,Postgraduate,Self-employed,"Below ₹20,000",Others,2–4 hours,Yes,Home & Lifestyle,1,2,1,3,1,4,5,3,2,1,2,1,1,3,2,1,2,1,5,5,4,5,,
30/06/2026 12:10:19,no,25–34,Prefer not to say,High School,Homemaker,"Below ₹20,000",LinkedIn,4–6 hours,No,Health & Fitness,4,4,2,2,3,4,1,4,5,5,3,1,2,5,4,1,2,4,2,3,4,3,,
30/06/2026 12:10:20,no,Below 18,Male,Doctorate,Homemaker,"₹60,001–₹80,000",WhatsApp,1–2 hours,No,Fashion & Clothing,1,3,1,4,3,5,5,2,1,5,4,2,5,5,4,5,1,1,4,5,4,4,,
30/06/2026 12:10:21,yes,18–24,Prefer not to say,Undergraduate,Others,"₹60,001–₹80,000",Facebook,4–6 hours,Yes,Fashion & Clothing,2,1,2,3,2,5,3,1,3,4,4,4,3,1,3,4,5,5,4,4,1,5,,
30/06/2026 12:10:21,no,25–34,Prefer not to say,Postgraduate,Homemaker,"₹60,001–₹80,000",WhatsApp,1–2 hours,Yes,Fashion & Clothing,5,2,4,3,5,2,5,4,2,2,5,1,3,3,5,4,5,5,3,2,5,5,,
30/06/2026 12:10:23,no,25–34,Male,Doctorate,Private Employee,"₹60,001–₹80,000",Instagram,More than 6 hours,No,Food & Beverages,5,3,3,3,1,5,5,5,2,4,2,1,3,5,5,2,4,2,3,1,5,4,,
30/06/2026 12:10:24,yes,Below 18,Prefer not to say,Diploma,Private Employee,"₹20,001–₹40,000",LinkedIn,More than 6 hours,Yes,Beauty & Personal Care,1,2,4,2,2,4,1,5,5,5,4,4,5,1,4,4,3,3,5,1,3,3,,
30/06/2026 12:10:25,yes,18–24,Prefer not to say,Diploma,Private Employee,"₹20,001–₹40,000",Facebook,2–4 hours,Yes,Health & Fitness,3,5,4,5,1,3,5,5,5,1,1,1,1,5,4,3,5,3,2,1,5,1,,
30/06/2026 12:10:26,yes,35–44,Prefer not to say,Doctorate,Others,"Below ₹20,000",WhatsApp,Less than 1 hour,No,Electronics,2,5,4,4,5,4,4,2,2,2,5,4,3,1,4,5,4,2,4,4,3,2,,
30/06/2026 12:10:27,yes,Below 18,Prefer not to say,Doctorate,Homemaker,"₹20,001–₹40,000",X (Twitter),Less than 1 hour,No,Electronics,4,4,1,1,2,1,5,3,4,5,1,4,1,5,2,4,3,3,2,4,4,4,,
30/06/2026 12:10:28,no,18–24,Female,Postgraduate,Business Owner,"₹60,001–₹80,000",YouTube,1–2 hours,No,Home & Lifestyle,5,2,1,1,4,1,1,3,4,4,5,5,5,5,4,4,1,5,1,5,1,4,,
30/06/2026 12:10:30,yes,25–34,Prefer not to say,Others,Others,"₹40,001–₹60,000",Facebook,Less than 1 hour,No,Beauty & Personal Care,1,3,5,5,4,4,4,1,5,4,4,3,2,1,1,1,2,4,4,5,5,4,,
30/06/2026 12:10:31,no,35–44,Female,Undergraduate,Private Employee,"₹40,001–₹60,000",Instagram,2–4 hours,No,Fashion & Clothing,1,3,4,3,3,1,3,5,4,2,1,5,1,5,2,3,1,3,2,5,5,3,,
30/06/2026 12:10:32,yes,25–34,Male,Diploma,Self-employed,"₹60,001–₹80,000",X (Twitter),More than 6 hours,Yes,Others,3,5,1,1,1,1,1,2,4,1,5,5,5,1,5,2,2,1,2,1,3,5,,
