Timestamp,Score,Gender,Age,Educational Qualification,Monthly income,Which UPI app do you use the most?,I use UPI for most of my daily transactions,Using UPI makes me spend more than I planned,I make more impulse/unplanned purchases because UPI is so convenient, I find it harder to track my spending when I use UPI,UPI cashbacks and offers encourage me to spend more,I spend on small things now that I would have skipped with cash,The ease of UPI has increased my overall monthly expenses,I often pay digitally without thinking about the amount,I shop online more because UPI payment is quick and easy,"I lose the ""feel"" of money when I pay through UPI compared to cash",I am able to save a fixed amount every month,Using UPI helps me keep digital records that improve my budgeting,I review my UPI transaction history to control my expenses,UPI has made me more disciplined about my finances,I set a monthly spending limit for myself,I transfer money to savings before spending on wants,Digital payments help me avoid borrowing/cash shortages,I plan my expenses better because of digital transaction records,My savings have remained stable or improved since I started using UPI,"Overall, UPI has had a positive impact on my saving habits"
30/06/2026 01:35:34,,Male,25-35,Professional/masters,Below 25000,Paytm,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral
30/06/2026 02:22:13,,Male,Below 25,UG,Below 25000,Phonepay,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
30/06/2026 02:26:20,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:26:45,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:28:34,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:28:36,,Female,Below 25,Professional/masters,25000-50000,Google pay,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
30/06/2026 02:28:37,,Female,25-35,UG,50000-100000,Google pay,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree
30/06/2026 02:28:39,,Male,Below 25,UG,50000-100000,Google pay,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral
30/06/2026 02:28:40,,Male,Below 25,UG,Below 25000,Google pay,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:28:42,,Male,25-35,Professional/masters,Below 25000,Phonepay,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree
